4119,1570
3727,1739
2966,4871
118,4460
1438,1754
3384,1234
2185,2083
4241,3830
4900,602
2275,3657
561,1910
4686,1540
1723,4345
4864,2610
771,3602
2323,2203
632,4261
3586,4129
2007,1123
2594,2258
582,274
995,3777
3285,1630
3576,1430
4187,3281
2546,1200
4310,4240
3564,3543
398,3512
2659,1135
4589,2036
1806,3077
2256,137
2694,962
4868,4274
2149,4250
1165,4376
1499,683
4559,2451
4927,3973
1604,985
2606,497
626,328
1289,4598
2019,1396
4251,2028
3524,862
599,2432
4626,3959
884,4040
4447,4137
1974,2622
1212,2421
1407,4232
315,1819
4263,2996
731,406
2051,1824
4442,369
2542,1396
1773,3910
4057,4830
736,572
1774,3035
3508,533
611,181
3165,1738
3221,4242
4874,1162
3946,3018
2220,3738
1798,4378
4668,3084
649,207
2685,4064
2404,1345
3748,978
1422,2328
2164,3831
3053,4542
4474,3768
33,2553
4880,3509
1892,1534
3471,3912
848,2522
353,1599
1281,496
4831,266
2167,589
2464,4977
538,426
2254,3530
2936,1949
339,115
557,2518
3880,4213
4531,1857
3662,4537
1085,4626
4045,4335
3347,2995
4942,3961
2440,1620
4122,3395
4431,1074
2804,2851
51,3780
638,2811
3376,2013
300,2036
4612,945
3952,3407
316,4101
1545,2475
788,4678
468,3060
4583,2738
3325,1998
4042,1377
4011,1722
2675,1990
2308,3267
2038,4678
2932,2941
340,2535
4574,2734
2419,2765
3413,1642
1495,528
843,3552
4552,1555
2912,663
4691,4808
745,3973
3557,4169
2940,3603
737,4997
3081,1010
2943,3073
3405,11
643,2846
3652,4876
3209,4420
2209,3716
3445,302
2732,2795
4061,1906
4115,4252
3830,4539
518,2902
4741,2766
3231,4594
1286,3415
4053,3518
3713,1106
1931,201
1161,2566
195,4966
600,2937
1361,37
4222,2225
2343,3229
2951,1577
4675,3878
2128,4309
1579,1583
1819,981
476,3782
3487,1005
2850,1073
3281,1578
820,2061
3724,3981
1780,1624
579,2418
1233,321
1957,1155
1659,3093
4292,4215
2950,2140
4519,4874
3815,3193
1578,1094
3748,3120
2835,105
4020,2071
3934,4556
1260,3653
1415,2507
2036,3762
4732,1976
4077,752
265,830
436,2881
4169,2662
79,221
3588,567
3812,4579
1318,1370
983,3049
1816,3537
4620,2422
1690,1535
3525,1582
3491,1108
665,2295
1716,2234
1,2896
3468,126
1876,2274
4364,2314
4617,4740
3509,4791
1190,4787
450,264
3245,2630
99,552
4622,691
4741,4341
1452,3613
4839,1361
